uid,domainID,siteID,namedLocation,collectDate,identifiedDate,sampleID,sampleCode,slideID,acceptedTaxonID,targetTaxaPresent,scientificName,morphospeciesID,taxonRank,phylum,subphylum,class,subclass,infraclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,subtribe,genus,specificEpithet,infraspecificEpithet,invertebrateLifeStage,sizeClass,sizeCategory,individualCount,subsamplePercent,estimatedTotalCount,immatureSpecimen,indeterminateSpecies,taxonRankQualifier,sampleCondition,distinctTaxon,identificationQualifier,identificationReferences,qcChecked,laboratoryName,identifiedBy,identificationRemarks,identificationHistoryID,dataQF,publicationDate,release
3cf4f188-6477-441e-8dd9-d7837edefa26,D17,BIGC,BIGC.AOS.reach,2021-11-16T17:32:00Z,2022-05-23T00:00:00Z,BIGC.20211116.SURBER.1,A00000299180,NA,ARGSP5,Y,Argia sp.,NA,genus,Arthropoda,Hexapoda,Insecta,Pterygota,Palaeoptera,NA,Odonata,Zygoptera,NA,NA,Coenagrionidae,NA,NA,NA,Argia,sp.,NA,larva,2,NA,1,10,10,N,N,NA,condition OK,Y,NA,Merritt et al. 2019; Westfall and May 1996,N,"Rhithron Associates, Inc.",J. Webb,NA,NA,NA,20231228T000353Z,RELEASE-2024
726e2894-5033-4202-bb59-e9f12e2656e2,D17,BIGC,BIGC.AOS.reach,2021-11-16T17:32:00Z,2022-05-23T00:00:00Z,BIGC.20211116.SURBER.3,A00000299195,NA,SPESP4,Y,Sperchon sp.,NA,genus,Arthropoda,Chelicerata,Arachnida,Acari,NA,Acariformes,Trombidiformes,Prostigmata,NA,Lebertioidea,Sperchontidae,NA,NA,NA,Sperchon,sp.,NA,adult,1,NA,3,90,3,N,N,NA,condition OK,Y,NA,Thorp and Rogers 2016,Y,"Rhithron Associates, Inc.",B. Moore,NA,NA,NA,20231228T000353Z,RELEASE-2024
3b9b5643-b554-4d38-abe6-669d5f3335ce,D17,BIGC,BIGC.AOS.reach,2021-11-16T17:32:00Z,2022-05-23T00:00:00Z,BIGC.20211116.SURBER.1,A00000299180,NA,NEMSP,Y,Nematoda sp.,NA,phylum,Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sp.,NA,unknown,2,NA,4,10,40,N,N,NA,condition OK,Y,NA,Thorp and Rogers 2016,N,"Rhithron Associates, Inc.",J. Webb,NA,NA,NA,20231228T000353Z,RELEASE-2024
7f87517d-f842-4eb2-9def-b7f3f84a436b,D17,BIGC,BIGC.AOS.reach,2021-11-16T17:32:00Z,2022-05-20T00:00:00Z,BIGC.20211116.SURBER.2,A00000299193,BA22NEOMST08010O1,PRIOSB,Y,Pristina osborni,NA,species,Annelida,Clitellata,Oligochaeta,Oligochaeta,NA,NA,Tubificida,NA,NA,NA,Naididae,Pristininae,NA,NA,Pristina,osborni,NA,unknown,2,NA,1,13,8,N,N,NA,condition OK,Y,NA,"Kathman and Brinkhurst, 1999",N,"Rhithron Associates, Inc.",J. Webb,NA,NA,NA,20231228T000353Z,RELEASE-2024
74048ed7-49df-4704-87f4-e97c43f461f0,D17,BIGC,BIGC.AOS.reach,2021-11-16T17:32:00Z,2022-05-31T00:00:00Z,BIGC.20211116.HESS.4,A00000299196,NA,ORTSP3,Y,Orthocladius sp.,NA,genus,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Holometabola,Diptera,Nematocera,Culicomorpha,NA,Chironomidae,Orthocladiinae,NA,NA,Orthocladius,sp.,NA,larva,2,NA,1,20,5,N,N,NA,condition OK,Y,NA,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013",N,"Rhithron Associates, Inc.",R. Spring,NA,NA,NA,20231228T000353Z,RELEASE-2024
0936d7d9-8706-41d2-9a22-1610839fa54b,D17,BIGC,BIGC.AOS.reach,2021-11-16T17:32:00Z,2022-05-20T00:00:00Z,BIGC.20211116.HESS.4,A00000299196,BA22NEOMST08013O1,NAICOM,Y,Nais communis/variabilis,NA,speciesGroup,Annelida,Clitellata,Oligochaeta,Oligochaeta,NA,NA,Tubificida,NA,NA,NA,Naididae,Naidinae,NA,NA,Nais,communis/variabilis,NA,immature,2,NA,7,20,35,Y,N,NA,condition OK,Y,NA,"Kathman and Brinkhurst, 1999",N,"Rhithron Associates, Inc.",J. Webb,NA,NA,NA,20231228T000353Z,RELEASE-2024
8786e437-a5f0-4b98-975a-31c6662ff207,D17,BIGC,BIGC.AOS.reach,2021-11-16T17:32:00Z,2022-05-23T00:00:00Z,BIGC.20211116.SURBER.3,A00000299195,NA,NEMSP,Y,Nematoda sp.,NA,phylum,Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sp.,NA,unknown,5,NA,1,90,1,N,N,NA,condition OK,Y,NA,Thorp and Rogers 2016,Y,"Rhithron Associates, Inc.",B. Moore,NA,NA,NA,20231228T000353Z,RELEASE-2024
1f86b406-cf60-4dc8-85ab-49a64fc4face,D17,BIGC,BIGC.AOS.reach,2021-11-16T17:32:00Z,2022-05-19T00:00:00Z,BIGC.20211116.SURBER.3,A00000299195,NA,THISP2,Y,Thienemanniella sp.,NA,genus,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Holometabola,Diptera,Nematocera,Culicomorpha,NA,Chironomidae,Orthocladiinae,NA,NA,Thienemanniella,sp.,NA,pupa,2,NA,1,90,1,N,N,NA,condition OK,N,NA,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013",Y,"Rhithron Associates, Inc.",R. Spring,NA,NA,NA,20231228T000353Z,RELEASE-2024
099022f7-1e89-4f28-854c-e0ab18ca244b,D17,BIGC,BIGC.AOS.reach,2021-11-16T17:32:00Z,2022-05-24T00:00:00Z,BIGC.20211116.SURBER.2,A00000299193,NA,TANSP11,Y,Tanytarsus sp.,NA,genus,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Holometabola,Diptera,Nematocera,Culicomorpha,NA,Chironomidae,Chironominae,Tanytarsini,NA,Tanytarsus,sp.,NA,larva,1,NA,4,13,31,N,N,NA,condition OK,Y,NA,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013",N,"Rhithron Associates, Inc.",A. Fasbender,NA,NA,NA,20231228T000353Z,RELEASE-2024
c2f06859-9539-41f6-a603-d9bce0d0bfa0,D17,BIGC,BIGC.AOS.reach,2021-11-16T17:32:00Z,2022-05-31T00:00:00Z,BIGC.20211116.HESS.2,A00000299192,NA,RHESP1,Y,Rheocricotopus sp.,NA,genus,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Holometabola,Diptera,Nematocera,Culicomorpha,NA,Chironomidae,Orthocladiinae,NA,NA,Rheocricotopus,sp.,NA,larva,2,NA,5,33,15,N,N,NA,condition OK,Y,NA,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013",N,"Rhithron Associates, Inc.",R. Spring,NA,NA,NA,20231228T000353Z,RELEASE-2024
