uid,domainID,siteID,namedLocation,passStartTime,passEndTime,passNumber,eventID,taxonID,scientificName,morphospeciesID,bulkFishCount,actualOrEstimated,identificationQualifier,identifiedBy,remarks,publicationDate,release
d4890718-d221-44b8-803d-8f6f0c227880,D17,BIGC,BIGC.AOS.fish.point.01,2021-04-19T22:05:00Z,2021-04-19T22:40:00Z,3,BIGC.20210419.01.3.e-fisher,SALTRU,Salmo trutta,NA,8,actual,NA,0000-0002-5454-7533,NA,20231228T010114Z,RELEASE-2024
b30b956a-6d4b-48d2-8f42-9c730cb85d2a,D17,BIGC,BIGC.AOS.fish.point.07,2021-04-21T21:45:00Z,2021-04-21T22:30:00Z,2,BIGC.20210421.07.2.e-fisher,SALTRU,Salmo trutta,NA,11,actual,NA,0000-0002-5454-7533,NA,20231228T010114Z,RELEASE-2024
93e030b6-fd8b-4c9b-95c4-d1c62e37f921,D17,BIGC,BIGC.AOS.fish.point.07,2021-04-21T23:20:00Z,2021-04-22T00:05:00Z,3,BIGC.20210421.07.3.e-fisher,SALTRU,Salmo trutta,NA,12,actual,NA,0000-0002-5454-7533,NA,20231228T010114Z,RELEASE-2024
c0c3168d-ae86-4ab6-941d-ee8cfe339455,D17,BIGC,BIGC.AOS.fish.point.09,2021-04-22T16:20:00Z,2021-04-22T17:10:00Z,1,BIGC.20210422.09.1.e-fisher,SALTRU,Salmo trutta,NA,20,NA,NA,0000-0002-5454-7533,NA,20231228T010114Z,RELEASE-2024
